hospital_name,city,state_code,rural_versus_urban,net_income,net_patient_revenue,total_costs,total_discharges,medicare_discharges,cost_to_charge_ratio,cost_of_charity_care,medicare_dependency_pct,charge_markup_ratio
"IRWIN COUNTY HOSPITAL",OCILLA,GA,R,-1248820.00,1557790.00,2463462.00,77,1,0.4267,NULL,1.30,2.34
"LAKE BEHAVIORAL HOSPITAL",WAUKEGAN,IL,U,2632879.00,9784298.00,8111462.00,1057,47,NULL,NULL,4.45,2.88
"EVEREST REHABILITATION HOSPITAL BENT",ROGERS,AR,U,-518505.00,1450453.00,2795440.00,63,43,NULL,NULL,68.25,1.07
"EVEREST REHABILITATION HOSPITAL BENT",ROGERS,AR,U,162664.00,11365020.00,10991706.00,583,410,NULL,NULL,70.33,1.75
"OCEANS BEHAVIORAL HOSPITAL CORPUS CH","CORPUS CHRISTI",TX,U,-2183297.00,1261761.00,1965696.00,137,6,NULL,NULL,4.38,0.87
"OCEANS BEHAVIORAL HOSPITAL CORPUS CH","CORPUS CHRISTI",TX,U,259061.00,10513490.00,10834563.00,1386,119,NULL,NULL,8.59,1.90
"WILLIAMSBURG REGIONAL HOSPITAL",KINGSTREE,SC,R,-3260557.00,5422988.00,7503553.00,90,29,0.5520,NULL,32.22,1.81
"PAM REHAB HOSP OF GEORGETOWN",GEORGETOWN,DE,U,156048.00,4011155.00,3683530.00,187,165,NULL,NULL,88.24,1.56
"PAM REHAB HOSP OF GEORGETOWN",GEORGETOWN,DE,U,6231732.00,25817429.00,18529181.00,1202,1147,NULL,NULL,95.42,2.30
"SAN CARLOS APACHE HEALTHCARE CORP",PERIDOT,AZ,R,-33070576.00,NULL,22963832.00,136,16,NULL,NULL,11.76,0.01
"BACHARACH INSTITUTE FOR REHABILITATI",POMONA,NJ,U,-4070092.00,2744837.00,8333525.00,54,35,NULL,NULL,64.81,1.02
"EVEREST REHABILITATION HOSPITAL LONG",LONGVIEW,TX,U,-614260.00,2411560.00,3293256.00,125,101,NULL,NULL,80.80,1.54
"EVEREST REHABILITATION HOSPITAL LONG",LONGVIEW,TX,U,-797833.00,10410614.00,11267878.00,532,379,NULL,NULL,71.24,1.66
"SSH - SPRINGFIELD INC.",SPRINGFIELD,MO,U,80850.00,6493196.00,6600654.00,128,41,NULL,NULL,32.03,5.65
"EAST VALLEY ER AND HOSPITAL",GILBERT,AZ,U,-3438200.00,1699864.00,3575513.00,70,13,0.1947,NULL,18.57,5.37
"EAST VALLEY ER AND HOSPITAL",GILBERT,AZ,U,-7971837.00,12216397.00,17134754.00,184,18,0.1947,NULL,9.78,5.14
"EAST VALLEY ER AND HOSPITAL",GILBERT,AZ,U,-3438200.00,1699864.00,3575513.00,70,13,0.1862,NULL,18.57,5.37
"EAST VALLEY ER AND HOSPITAL",GILBERT,AZ,U,-7971837.00,12216397.00,17134754.00,184,18,0.1862,NULL,9.78,5.14
"ST. LUKES HOSPITAL",MAUMEE,OH,R,-44624987.00,62879043.00,91146379.00,2316,797,0.4023,565825.00,34.41,2.49
"SOUTHWEST GENERAL HOSPITAL","SAN ANTONIO",TX,U,-9315920.00,66113127.00,53955049.00,4534,474,0.1472,7274725.00,10.45,6.79
"EVEREST REHABILITATION HOSPITAL TEMP",TEMPLE,TX,U,-447629.00,2422521.00,3586473.00,103,50,0.6063,NULL,48.54,1.19
"EVEREST REHABILITATION HOSPITAL TEMP",TEMPLE,TX,U,-1191048.00,9589726.00,10609504.00,469,173,0.6063,NULL,36.89,1.65
"EVEREST REHABILITATION HOSPITAL TEMP",TEMPLE,TX,U,-447629.00,2422521.00,3586473.00,103,50,NULL,NULL,48.54,1.19
"EVEREST REHABILITATION HOSPITAL TEMP",TEMPLE,TX,U,-1191048.00,9589726.00,10609504.00,469,173,NULL,NULL,36.89,1.65
"REHABILITATION HOSPITAL OF WESTERN W","EAU CLAIRE",WI,U,-1520775.00,2003440.00,3162377.00,103,76,NULL,NULL,73.79,1.12
"REHABILITATION HOSPITAL OF WESTERN W","EAU CLAIRE",WI,U,-18820090.00,6592609.00,11459467.00,334,191,NULL,NULL,57.19,0.97
"EVEREST REHABILITATION HOSPITAL NORT","LIBERTY TOWNSHIP",OH,U,-1326976.00,798666.00,3399352.00,53,41,0.8164,NULL,77.36,0.50
"EVEREST REHABILITATION HOSPITAL NORT","LIBERTY TOWNSHIP",OH,U,-2539928.00,6066488.00,8710143.00,342,218,0.8164,NULL,63.74,1.22
"EVEREST REHABILITATION HOSPITAL NORT","LIBERTY TOWNSHIP",OH,U,-1326976.00,798666.00,3399352.00,53,41,NULL,NULL,77.36,0.50
"EVEREST REHABILITATION HOSPITAL NORT","LIBERTY TOWNSHIP",OH,U,-2539928.00,6066488.00,8710143.00,342,218,NULL,NULL,63.74,1.22
"COREWELL HEALTH LUDINGTON HOSPITAL",LUDINGTON,MI,R,129052.00,53406311.00,48386897.00,928,258,0.3345,182677.00,27.80,2.99
"UNIVERSITY HEALTH SERVICES  INC.",AUGUSTA,GA,U,-7173283.00,220118681.00,229843283.00,11095,2611,0.2495,11938135.00,23.53,4.01
"LAKELAND COMMUNITY HOSP WATERVLIET",WATERVLIET,MI,R,1114666.00,23738356.00,20840565.00,7,1,0.3233,122372.00,14.29,3.09
"COREWELL HEALTH BIG RAPIDS","BIG RAPIDS",MI,R,3333610.00,43815822.00,36025807.00,1060,223,0.2995,235962.00,21.04,3.34
"WATAUGA MEDICAL CENTER",BOONE,NC,R,-9653967.00,131671678.00,116331469.00,2973,988,0.2873,639393.00,33.23,3.48
"CHARLES A. CANNON MEMORIAL HOSPITAL",LINVILLE,NC,R,-1392575.00,15969403.00,16859911.00,217,93,0.4107,109032.00,42.86,2.44
"EAST TENNESSEE BEHAVIORAL HEALTH",KNOXVILLE,TN,U,-8614042.00,4498551.00,12599548.00,927,54,NULL,NULL,5.83,1.16
"SUMMIT MEDICAL CENTER  LLC",CASPER,WY,U,500790.00,14237491.00,14105393.00,53,30,0.3689,NULL,56.60,2.71
"COREWELL HEALTH ZEELAND",ZEELAND,MI,U,7430545.00,49604814.00,34814901.00,1267,132,0.2462,268393.00,10.42,4.06
"EASTERN NIAGARA HOSPITAL",LOCKPORT,NY,U,935398.00,9156862.00,14210210.00,196,37,0.4181,4939.00,18.88,2.39
"CARONDELET ST. MARYS HOSPITAL",TUCSON,AZ,R,-8495507.00,138586064.00,132972625.00,6066,1187,0.0795,1600483.00,19.57,12.58
"CARONDELET ST. JOSEPH HOSPITAL",TUCSON,AZ,R,12314674.00,214872409.00,176656637.00,8397,1589,0.0856,1718554.00,18.92,11.68
"EDWARD W. SPARROW HOSPITAL",LANSING,MI,U,-6898085.00,502650273.00,404300127.00,11408,1719,0.2356,4299405.00,15.07,4.24
"CARSON CITY HOSPITAL","CARSON CITY",MI,U,-2338563.00,21966923.00,21691082.00,222,58,0.3431,277659.00,26.13,2.91
"LANCASTER MEDICAL CENTER",LANCASTER,PA,U,-40603387.00,64356763.00,103337856.00,2100,581,0.4102,2126281.00,27.67,2.44
"SALT LAKE REGIONAL MEDICAL CENTER","SALT LAKE CITY",UT,U,1395063.00,17293885.00,22062966.00,295,62,0.4563,474092.00,21.02,2.19
"IROQUOIS MEMORIAL HOSPITAL",WATSEKA,IL,R,2032349.00,25392275.00,24397798.00,330,114,0.4058,108936.00,34.55,2.46
"WENATCHEE VALLEY HOSPITAL",WENATCHEE,WA,U,5101730.00,146849318.00,96010562.00,155,64,0.4832,536935.00,41.29,2.07
"DELTA HEALTH-HIGHLAND HILLS",SENATOBIA,MS,U,-1648188.00,4969569.00,6044508.00,172,65,0.3124,340233.00,37.79,3.00
"DELTA HEALTH-HIGHLAND HILLS",SENATOBIA,MS,U,413279.00,6753860.00,4356630.00,81,32,0.3124,340233.00,39.51,3.20
